Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
240776.0,254788.65151515152,14012.65151515152,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
234998.0,254704.09595959596,19706.095959595958,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
229703.0,254289.74984695436,24586.749846954364,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
224621.0,253482.60218345065,28861.602183450654,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
219284.0,252723.49242694772,33439.49242694772,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
214449.0,252241.0156826658,37792.015682665806,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
206085.0,251709.38794361043,45624.38794361043,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205017.0,251857.4896392943,46840.489639294305,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205945.0,251924.78941792072,45979.78941792072,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
203825.0,251938.13656339413,48113.13656339413,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
203212.0,252503.21505654405,49291.21505654405,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205752.0,252493.70744604428,46741.70744604428,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205340.0,251241.83903856526,45901.83903856526,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205875.0,251096.2720539567,45221.272053956694,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
202488.0,251045.465463145,48557.465463144996,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
198641.0,251053.82373812233,52412.82373812233,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
199090.0,251041.22243600697,51951.22243600697,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
197273.0,250973.79643841286,53700.79643841286,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
193115.0,250858.01837424003,57743.018374240026,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
190657.0,250648.47897634265,59991.47897634265,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
188094.0,250439.20724047476,62345.20724047476,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
188094.0,250229.4090000695,62135.409000069514,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
184572.0,250020.03568814977,65448.03568814977,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
187829.0,249938.40584186403,62109.405841864034,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
246443.0,248526.89393939395,2083.893939393951,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
249238.0,249025.55555555556,-212.44444444443798,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
245138.0,248833.06374349556,3695.063743495557,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
248490.0,248599.56455973876,109.56455973876291,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
251887.0,248181.88093244965,-3705.119067550346,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
