,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
0,240776.0,251973.0833333333,11197.083333333345,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,234998.0,252375.00694444444,17377.006944444438,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,229703.0,252792.50752314812,23089.507523148142,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,224621.0,253213.79981674385,28592.79981674382,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,219284.0,253428.61646813917,34144.61646813914,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,214449.0,253402.4178404841,38953.417840484064,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,206085.0,253348.3693271911,47263.36932719109,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,205017.0,252985.48343779036,47968.48343779033,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,205945.0,252750.52372427288,46805.52372427288,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,203825.0,252596.48403462893,48771.48403462893,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
10,203212.0,252262.3577041813,49050.35770418134,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
11,205752.0,252283.4708461965,46531.47084619646,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
24,246443.0,251338.66666666663,4895.666666666657,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
25,249238.0,250774.5555555556,1536.555555555562,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
26,245138.0,250671.35185185185,5533.351851851854,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
27,248490.0,250603.79783950615,2113.79783950618,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
28,251887.0,250619.69765946505,-1267.302340534981,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
29,244598.0,250517.5891310871,5919.589131087094,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
30,249118.0,250875.6382253444,1757.638225344359,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
31,249212.0,250864.44141078973,1652.441410789732,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
32,252689.0,250566.14486168887,-2122.855138311133,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
33,251887.0,250271.4902668296,-1615.509733170387,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
34,247252.0,250345.03112239877,3093.0311223987374,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
35,242618.0,250365.45038259865,7747.450382598647,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
48,294005.0,279772.5,-14232.5,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
49,293044.0,279928.9583333333,-13115.041666666686,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
50,297039.0,280479.4548611111,-16559.545138888876,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
51,298510.0,281155.9927662037,-17354.007233796292,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
52,298400.0,281968.8254967207,-16431.174503279326,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
53,302473.0,282553.0609547807,-19919.939045219275,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
54,293800.0,283257.5660343458,-10542.433965654229,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
55,291230.0,283709.6965372079,-7520.303462792071,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
56,287000.0,283879.2545819753,-3120.745418024715,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
57,285000.0,283973.69246380654,-1026.3075361934607,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
