Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
240776.0,251973.08333333334,11197.083333333343,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
234998.0,252375.00694444444,17377.006944444438,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
229703.0,252792.50752314815,23089.507523148146,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
224621.0,253213.79981674382,28592.79981674382,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
219284.0,253428.61646813914,34144.61646813914,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
214449.0,253402.41784048406,38953.417840484064,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
206085.0,253348.3693271911,47263.36932719109,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205017.0,252985.48343779033,47968.48343779033,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205945.0,252750.52372427288,46805.523724272876,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
203825.0,252596.48403462893,48771.48403462893,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
203212.0,252262.35770418134,49050.35770418134,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205752.0,252283.47084619646,46531.47084619646,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205340.0,252784.34341671283,47444.34341671283,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
205875.0,252851.94842366112,46976.94842366112,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
202488.0,252891.69354692916,50403.693546929164,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
198641.0,252899.95904891094,54258.95904891094,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
199090.0,252873.8056515915,53783.80565159151,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
197273.0,252827.57141687922,55554.57141687922,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
193115.0,252779.6675482455,59664.66754824549,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
190657.0,252732.27573333334,62075.27573333334,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
188094.0,252711.17509129527,64617.17509129527,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
188094.0,252707.89603854713,64613.89603854713,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
184572.0,252717.180372207,68145.18037220699,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
187829.0,252755.0822612091,64926.082261209114,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
246443.0,251338.66666666666,4895.666666666657,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
249238.0,250774.55555555556,1536.555555555562,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
245138.0,250671.35185185185,5533.351851851854,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
248490.0,250603.79783950618,2113.79783950618,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
251887.0,250619.69765946502,-1267.3023405349813,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
244598.0,250517.5891310871,5919.589131087094,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
249118.0,250875.63822534436,1757.638225344359,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
249212.0,250864.44141078973,1652.441410789732,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
252689.0,250566.14486168887,-2122.8551383111335,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
251887.0,250271.4902668296,-1615.5097331703873,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
247252.0,250345.03112239874,3093.0311223987374,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
242618.0,250365.45038259865,7747.450382598647,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
245894.0,250651.15458114853,4757.154581148527,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
249200.0,250593.86190735534,1393.8619073553418,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
250395.0,250578.80410333865,183.8041033386544,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
245750.0,250571.09179096256,4821.091790962557,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
241213.0,250568.36628691727,9355.36628691727,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
244555.0,250564.0886725383,6009.088672538288,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
247898.0,250567.9636343259,2669.96363432589,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
243287.0,250542.32408507433,7255.324085074331,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
240874.0,250515.48097459806,9641.48097459806,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
236484.0,250511.25898400717,14027.258984007174,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
239851.0,250531.23971043862,10680.239710438618,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
234274.0,250546.75709277528,16272.757092775282,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
294005.0,279772.5,-14232.5,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
293044.0,279928.9583333333,-13115.041666666686,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
297039.0,280479.4548611111,-16559.545138888876,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
298510.0,281155.9927662037,-17354.007233796292,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
298400.0,281968.8254967207,-16431.174503279326,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
302473.0,282553.0609547807,-19919.939045219275,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
293800.0,283257.5660343458,-10542.433965654229,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
291230.0,283709.6965372079,-7520.3034627920715,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
287000.0,283879.2545819753,-3120.745418024715,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
285000.0,283973.69246380654,-1026.3075361934607,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
