Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
0,240776.0,251973.0833333333,0.0465041504690389,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,234998.0,252375.00694444444,0.0739453397239314,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,229703.0,252792.5075231481,0.1005189637190115,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,224621.0,253213.79981674385,0.1272935291746713,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,219284.0,253428.6164681392,0.1557095659881212,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,214449.0,253402.4178404841,0.181644203705702,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,206085.0,253348.3693271911,0.2293392014323754,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,205017.0,252985.4834377904,0.2339731994799961,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,205945.0,252750.52372427288,0.2272719596216119,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,203825.0,252596.48403462893,0.2392811678382383,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
10,203212.0,252262.3577041813,0.2413753011838932,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
11,205752.0,252283.4708461965,0.2261531885288915,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
24,246443.0,251338.66666666663,0.0198653103016382,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
25,249238.0,250774.5555555556,0.0061650131824023,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
26,245138.0,250671.35185185185,0.0225723953522173,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
27,248490.0,250603.79783950612,0.0085065710471493,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
28,251887.0,250619.69765946505,0.0050312336108451,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
29,244598.0,250517.5891310871,0.0242012981753207,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
30,249118.0,250875.6382253444,0.0070554445096074,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
31,249212.0,250864.44141078973,0.0066306655008175,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
32,252689.0,250566.14486168887,0.0084010587651664,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
33,251887.0,250271.4902668296,0.0064136288620309,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
34,247252.0,250345.0311223988,0.0125096303463622,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
35,242618.0,250365.45038259865,0.0319327106092649,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
48,294005.0,279772.5,0.0484090406625737,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
49,293044.0,279928.9583333333,0.0447545135429037,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
50,297039.0,280479.4548611111,0.0557487236992074,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
51,298510.0,281155.9927662037,0.0581354300820618,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
52,298400.0,281968.8254967207,0.0550642577187645,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
53,302473.0,282553.0609547807,0.0658569163039982,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
54,293800.0,283257.5660343458,0.0358830291547114,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
55,291230.0,283709.6965372079,0.0258225576444462,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
56,287000.0,283879.2545819753,0.0108736774147202,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
57,285000.0,283973.69246380654,0.003601079074363,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
58,284608.0,283757.08350245707,0.0029897841857675,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
59,278694.0,283211.09046099515,0.0162080649780589,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
71,300855.0,313145.0833333333,0.0408505204611301,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
72,299892.0,313715.5902777777,0.0460952285415339,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
73,298962.0,314435.3894675926,0.0517570442651326,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
74,307631.0,314880.25525655865,0.0235647748652075,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
75,306369.0,315276.9431946052,0.0290758634019929,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
76,313759.0,315356.35512748896,0.0050910256836902,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
