Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
0,240776.0,251973.0833333333,0.04650415046903891,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,234998.0,252375.00694444444,0.07394533972393143,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,229703.0,252792.50752314812,0.10051896371901158,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,224621.0,253213.79981674385,0.12729352917467132,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,219284.0,253428.61646813917,0.1557095659881212,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,214449.0,253402.4178404841,0.18164420370570203,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,206085.0,253348.3693271911,0.22933920143237543,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,205017.0,252985.48343779036,0.2339731994799961,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,205945.0,252750.52372427288,0.22727195962161195,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,203825.0,252596.48403462893,0.23928116783823833,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
10,203212.0,252262.3577041813,0.24137530118389322,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
11,205752.0,252283.4708461965,0.22615318852889155,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
12,205340.0,252784.34341671283,0.23105261233423993,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
13,205875.0,252851.94842366112,0.228181898839884,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
14,202488.0,252891.6935469292,0.24892187955300657,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
15,198641.0,252899.9590489109,0.2731508553063613,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
16,199090.0,252873.8056515915,0.27014820257969513,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
17,197273.0,252827.5714168792,0.28161264550586845,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
18,193115.0,252779.6675482455,0.3089592602762369,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
19,190657.0,252732.2757333333,0.3255861349613878,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
20,188094.0,252711.17509129527,0.34353660984026746,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
21,188094.0,252707.89603854716,0.3435191767868574,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
22,184572.0,252717.180372207,0.3692064905413984,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
23,187829.0,252755.0822612091,0.3456659102758845,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
24,246443.0,251338.66666666663,0.01986531030163822,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
25,249238.0,250774.5555555556,0.006165013182402327,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
26,245138.0,250671.35185185185,0.022572395352217337,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
27,248490.0,250603.79783950615,0.008506571047149386,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
28,251887.0,250619.69765946505,0.00503123361084515,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
29,244598.0,250517.5891310871,0.024201298175320705,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
30,249118.0,250875.6382253444,0.0070554445096074475,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
31,249212.0,250864.44141078973,0.006630665500817505,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
32,252689.0,250566.14486168887,0.008401058765166404,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
33,251887.0,250271.4902668296,0.00641362886203094,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
34,247252.0,250345.03112239877,0.01250963034636228,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
35,242618.0,250365.45038259865,0.03193271060926496,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
36,245894.0,250651.15458114853,0.019346362990347574,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
37,249200.0,250593.8619073553,0.005593346337701897,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
38,250395.0,250578.80410333865,0.0007340566039204233,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
39,245750.0,250571.09179096256,0.01961787097034611,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
40,241213.0,250568.36628691727,0.03878466868252237,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
41,244555.0,250564.0886725383,0.024571522449094427,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
42,247898.0,250567.9636343259,0.010770412162768113,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
43,243287.0,250542.32408507436,0.029822078800241528,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
44,240874.0,250515.4809745981,0.040027072139782995,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
45,236484.0,250511.2589840072,0.05931589022516197,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
46,239851.0,250531.23971043865,0.04452864365976647,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
47,234274.0,250546.75709277528,0.06946036304829081,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
48,294005.0,279772.5,0.04840904066257377,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
49,293044.0,279928.9583333333,0.044754513542903746,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
50,297039.0,280479.4548611111,0.05574872369920743,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
51,298510.0,281155.9927662037,0.05813543008206188,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
