Indice,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
0,247150.0,247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,Mês 1 - Mês 12,254788.65151515152,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,Mês 2 - Mês 13,254704.095959596,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,Mês 3 - Mês 14,254289.7498469544,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,254289.7498469544,Mês 4 - Mês 15,253482.60218345065,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,254289.7498469544,253482.60218345065,Mês 5 - Mês 16,252723.4924269477,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,254289.7498469544,253482.60218345065,252723.4924269477,Mês 6 - Mês 17,252241.0156826658,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,254289.7498469544,253482.60218345065,252723.4924269477,252241.0156826658,Mês 7 - Mês 18,251709.38794361043,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,254289.7498469544,253482.60218345065,252723.4924269477,252241.0156826658,251709.38794361043,Mês 8 - Mês 19,251857.4896392943,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,254289.7498469544,253482.60218345065,252723.4924269477,252241.0156826658,251709.38794361043,251857.4896392943,Mês 9 - Mês 20,251924.78941792072,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,256606.0,252009.0,246273.0,254788.65151515152,254704.095959596,254289.7498469544,253482.60218345065,252723.4924269477,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,Mês 10 - Mês 21,251938.13656339413,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
