Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
240.776,222.435,0.0761745356680068,Mes 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015
246.443,232.2972,0.05739988557191727,Mes 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016
294.005,250.10549999999998,0.14931548783183965,Mes 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017
300.855,275.6691,0.08371441392032708,Mes 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018
131.572,118.48500000000001,0.09946645182865647,Mes 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015
139.663,124.2441,0.11040075037769492,Mes 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016
298.4,141.66090000000003,0.5252650804289543,Mes 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017
131.572,118.48500000000001,0.09946645182865647,Mes 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015
139.663,124.2441,0.11040075037769492,Mes 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016
160.025,141.66090000000003,0.11475769411029513,Mes 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017
163.697,149.3406,0.08770105744149256,Mes 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018
141.697,142.1226,0.003003592172029068,Mes 13,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015
141.331,137.0052,0.030607580785531746,Mes 13,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016
180.46,170.0505,0.05768314307879867,Mes 20,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017
197.695,174.6891,0.11637067199473936,Mes 13,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018
153.33,144.5616,0.05718646057522998,Mes 13,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015
51.927,48.1518,0.07270206251083249,Mes 13,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015
49.296,42.7635,0.1325158227848101,Mes 13,CAOA Chery,Tiggo 2.0 16V Mec. 5p,2015
30.791,27.7938,0.09734013185671135,Mes 13,Chevrolet,Classic ADVANTAGE 1.0 VHC FlexPower 4p,2015
27.93,24.5745,0.1201396348012889,Mes 13,Chevrolet,Classic Life/LS 1.0 VHC FlexP. 4p,2015
29.748,26.424,0.11173860427591775,Mes 13,Chevrolet,Classic Life/LS 1.0 VHC FlexP. 4p,2016
44.72,40.617000000000004,0.09174865831842564,Mes 13,Chevrolet,COBALT LT 1.8 8V Econo.Flex 4p Aut.,2015
42.835,37.809,0.1173339558772033,Mes 13,Chevrolet,COBALT LT 1.8 8V Econo.Flex 4p Mec.,2015
46.671,40.3335,0.1357909622677894,Mes 13,Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2015
51.946,47.6109,0.08345397143187151,Mes 13,Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2016
55.489,49.4487,0.10885580925949279,Mes 13,Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2017
56.225,51.656400000000005,0.08125566918630496,Mes 13,Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2018
56.913,52.3224,0.08065995466765054,Mes 13,Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2019
62.0,55.0098,0.11274516129032261,Mes 13,Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2020
75.885,69.048,0.09009685708638074,Mes 13,Chevrolet,TRACKER LTZ 1.8 16V Flex 4x2 Aut.,2015
80.078,70.9263,0.11428482229825926,Mes 17,Chevrolet,TRACKER LTZ 1.8 16V Flex 4x2 Aut.,2016
75.987,63.83970000000001,0.15986023925145074,Mes 29,Chevrolet,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2019
76.513,67.4487,0.11846744997582113,Mes 13,Chevrolet,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2020
42.34,38.609100000000005,0.08811761927255546,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2015
45.517,39.978,0.12169079684513481,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2016
48.141,44.6994,0.0714899981304917,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2017
49.877,44.9955,0.09787076207470381,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2018
52.668,47.2122,0.10358851674641141,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2019
46.536,42.075,0.09586126869520367,Mes 13,Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2015
49.737,43.421400000000006,0.12697991434947817,Mes 13,Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2016
52.872,48.742200000000004,0.07810939627780292,Mes 13,Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2017
52.628,49.185900000000004,0.06540434749562964,Mes 13,Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2018
56.677,50.8023,0.1036522751733507,Mes 13,Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2019
37.656,34.3089,0.08888623326959841,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2015
45.517,35.1225,0.22836522617922975,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2016
37.656,34.3089,0.08888623326959841,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2015
39.98,35.1225,0.12149824912456215,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2016
43.658,39.9195,0.08563149938155669,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2017
45.379,40.902300000000004,0.09865135855792313,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2018
44.942,42.4395,0.05568288015664629,Mes 13,Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2019
45.787,40.712399999999995,0.11083058510057449,Mes 13,Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2015
48.563,44.3142,0.08749047628853247,Mes 13,Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2016
51.789,47.3346,0.08601054277935469,Mes 13,Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2017
54.632,48.096900000000005,0.11962036901449687,Mes 13,Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2018
58.125,52.3125,0.1,Mes 13,Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2019
48.71,44.217000000000006,0.09223978649148008,Mes 13,Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2015
50.883,47.2005,0.07237191203348868,Mes 13,Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2016
57.515,51.632999999999996,0.10226897331131019,Mes 13,Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2017
59.392,53.5725,0.09798457704741387,Mes 13,Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2018
62.635,55.590300000000006,0.11247225991857575,Mes 13,Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2019
40.175,34.776,0.1343870566272556,Mes 13,Chevrolet,PRISMA Sed. ADVANT. 1.0 8V FlexPower 4p,2015
52.447,47.7225,0.09008141552424363,Mes 13,Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2015
56.763,51.9786,0.08428729982559058,Mes 13,Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2017
60.961,55.0602,0.09679631239645013,Mes 13,Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2018
56.152,50.6358,0.09823692833736995,Mes 13,Chevrolet,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,2015
53.177,52.223400000000005,0.017932564830659768,Mes 13,Chevrolet,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,2016
51.415,45.0585,0.1236312360206165,Mes 13,Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Mec.,2015
64.69,58.302,0.09874787447828101,Mes 13,Chevrolet,CRUZE LT 1.8 16V FlexPower 4p Aut.,2015
68.068,60.42960000000001,0.1122171945701356,Mes 13,Chevrolet,CRUZE LT 1.8 16V FlexPower 4p Aut.,2016
74.602,64.269,0.13850835098254735,Mes 13,Chevrolet,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2015
74.038,70.1694,0.05225154650314705,Mes 13,Chevrolet,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2016
106.152,96.8373,0.08774869997739093,Mes 13,Chevrolet,CRUZE LT 1.8 16V FlexPower 4p Mec.,2015
57.825,55.426500000000004,0.041478599221789855,Mes 13,Citroën,AIRCROSS Exclusive 1.6 Flex 16V 5p Aut.,2015
53.64,50.409,0.06023489932885909,Mes 13,Citroën,AIRCROSS Exclusive 1.6 Flex 16V 5p Mec.,2015
52.122,50.301899999999996,0.03491999539541851,Mes 13,Citroën,C3 Picasso Excl. 1.6 Flex 16V 5p Aut.,2015
75.418,67.35600000000001,0.10689755761224107,Mes 13,Citroën,C4 LOUNGE Exclusive 1.6 Turbo 4p Aut.,2015
57.555,50.9985,0.11391712275215012,Mes 13,Citroën,C4 LOUNGE Origine 2.0 Flex 4p Mec.,2015
61.589,54.3024,0.11831008784036111,Mes 13,Citroën,C4 LOUNGE Tendance 2.0 Flex 4p Mec.,2015
61.089,57.8961,0.05226636546677801,Mes 13,Citroën,C4 LOUNGE Tendance 2.0 Flex 4p Mec.,2016
29.351,25.5879,0.12821028244352825,Mes 13,Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2015
31.097,28.418400000000002,0.08613692639161331,Mes 13,Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2016
35.81,31.7799,0.11254118961184029,Mes 13,Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2019
39.349,33.8769,0.13906579582708578,Mes 13,Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2020
53.785,48.2004,0.10383192339871702,Mes 13,Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2015
55.898,52.472699999999996,0.06127768435364426,Mes 13,Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2016
40.246,37.7793,0.06129056303732055,Mes 13,Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2015
43.036,40.7061,0.054138395761687934,Mes 13,Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2016
40.246,37.7793,0.06129056303732055,Mes 13,Fiat,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p,2015
43.036,40.7061,0.054138395761687934,Mes 13,Fiat,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p,2016
51.838,47.2635,0.0882460743084224,Mes 13,Fiat,Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p,2015
54.092,50.7879,0.061082969755231795,Mes 13,Fiat,Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p,2016
48.763,41.8356,0.14206262945265877,Mes 13,Fiat,Idea ELX 1.4 mpi Fire Flex 8V 5p,2015
44.611,38.2914,0.14166012866781724,Mes 13,Fiat,Grand Siena ESSEN. ITALIA Dual. 1.6 Flex,2015
39.097,33.7698,0.13625597871959497,Mes 13,Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2015
40.615,36.4545,0.10243752308260493,Mes 13,Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2016
43.41,38.213100000000004,0.11971665514858311,Mes 13,Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2017
43.421,40.3083,0.07168651113516494,Mes 13,Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2018
45.277,40.7961,0.09896636261236386,Mes 13,Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2019
46.439,42.0264,0.09501927259415573,Mes 13,Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2020
43.778,38.178000000000004,0.1279181323952669,Mes 13,Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2015
45.091,40.6215,0.09912177596416144,Mes 13,Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2016
49.538,43.1901,0.1281420323791836,Mes 13,Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2017
53.798,48.3849,0.10061898211829436,Mes 13,Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2018
45.958,40.3857,0.12124766090778534,Mes 13,Fiat,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,2015
43.952,44.6652,0.016226792864943586,Mes 13,Fiat,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,2016
52.543,49.9581,0.04919589669413618,Mes 17,Fiat,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,2018
49.22,45.301500000000004,0.07961194636326685,Mes 13,Fiat,LINEA ESSENCE 1.8 Flex 16V 4p,2015
49.959,48.4731,0.029742388758782216,Mes 13,Fiat,LINEA ESSENCE 1.8 Flex 16V 4p,2016
64.496,58.599000000000004,0.0914320267923591,Mes 13,Ford,EcoSport FREESTYLE 2.0 16V Flex 5p Aut.,2015
64.519,58.571099999999994,0.09218834761853115,Mes 32,Ford,EcoSport FREESTYLE 2.0 16V Flex 5p Aut.,2016
59.812,57.830400000000004,0.03313047548986814,Mes 13,Ford,EcoSport SE 2.0 16V Flex 5p Aut.,2015
62.709,59.572799999999994,0.05001196000574095,Mes 13,Ford,EcoSport SE 2.0 16V Flex 5p Aut.,2016
67.58,63.4149,0.06163213968629765,Mes 19,Ford,EcoSport SE 2.0 16V Flex 5p Aut.,2017
81.662,61.7562,0.24375841884842406,Mes 36,Ford,EcoSport SE 2.0 16V Flex 5p Aut.,2019
NaN,NaN,NaN,Mes 13,Ford,EcoSport XLT 2.0/ 2.0 Flex 16V 5p Mec.,2015
54.585,50.201100000000004,0.080313272877164,Mes 13,Ford,EcoSport SE 1.6 16V Flex 5p Mec.,2015
55.86,51.471900000000005,0.07855531686358744,Mes 13,Ford,EcoSport SE 1.6 16V Flex 5p Mec.,2016
60.146,53.2368,0.11487380706946428,Mes 13,Ford,EcoSport SE 1.6 16V Flex 5p Mec.,2017
33.785,29.1015,0.13862660944205996,Mes 13,Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2015
35.398,32.333400000000005,0.08657551274083276,Mes 13,Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2016
35.705,33.1101,0.07267609578490396,Mes 13,Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2017
38.113,33.9705,0.10868994831159967,Mes 13,Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2018
39.583,36.6507,0.07407978172447763,Mes 13,Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2019
43.866,37.107,0.1540828887977021,Mes 13,Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2020
