Marca,Modelo,Ano-modelo,Amplitude
Chevrolet,Classic ADVANTAGE 1.0 VHC FlexPower 4p,2015.0,0.34
Chevrolet,Classic Life/LS 1.0 VHC FlexP. 4p,2015.0,-0.09
Chevrolet,Classic Life/LS 1.0 VHC FlexP. 4p,2016.0,0.01
Chevrolet,COBALT LT 1.8 8V Econo.Flex 4p Aut.,2015.0,-0.41
Chevrolet,COBALT LT 1.8 8V Econo.Flex 4p Mec.,2015.0,-0.5
Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2015.0,-0.79
Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2016.0,0.39
Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2017.0,-0.24
Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2018.0,-0.13
Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2019.0,-0.25
Chevrolet,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2020.0,-0.15
Chevrolet,TRACKER LTZ 1.8 16V Flex 4x2 Aut.,2015.0,-0.07
Chevrolet,TRACKER LTZ 1.8 16V Flex 4x2 Aut.,2016.0,-0.03
Chevrolet,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2020.0,-0.24
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2015.0,-0.18
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2016.0,-0.29
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2017.0,0.71
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2018.0,-0.31
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2019.0,-0.45
Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2015.0,-0.13
Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2016.0,-0.07
Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2017.0,0.47
Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2018.0,0.21
Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2019.0,-0.44
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2015.0,0.16
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2016.0,-3.11
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2015.0,0.16
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2016.0,-0.35
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2017.0,0.25
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2018.0,-0.09
Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2019.0,0.34
Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2015.0,-0.27
Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2016.0,0.61
Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2017.0,0.4
Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2018.0,-0.86
Chevrolet,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2019.0,-0.16
Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2015.0,-0.17
Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2016.0,0.69
Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2017.0,0.07
Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2018.0,-0.26
Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2019.0,-0.55
Chevrolet,PRISMA Sed. ADVANT. 1.0 8V FlexPower 4p,2015.0,-0.74
Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2015.0,0.21
Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2017.0,0.78
Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2018.0,-0.13
Chevrolet,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,2015.0,0.26
Chevrolet,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,2016.0,1.07
Chevrolet,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Mec.,2015.0,-0.61
Chevrolet,CRUZE LT 1.8 16V FlexPower 4p Aut.,2015.0,0.01
Chevrolet,CRUZE LT 1.8 16V FlexPower 4p Aut.,2016.0,-0.28
Chevrolet,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2015.0,-0.82
Chevrolet,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2016.0,0.45
Chevrolet,CRUZE LT 1.8 16V FlexPower 4p Mec.,2015.0,0.13
Citroën,AIRCROSS Exclusive 1.6 Flex 16V 5p Aut.,2015.0,0.45
Citroën,AIRCROSS Exclusive 1.6 Flex 16V 5p Mec.,2015.0,0.62
Citroën,C3 Picasso Excl. 1.6 Flex 16V 5p Aut.,2015.0,0.65
Citroën,C4 LOUNGE Exclusive 1.6 Turbo 4p Aut.,2015.0,0.14
Citroën,C4 LOUNGE Origine 2.0 Flex 4p Mec.,2015.0,-0.25
Citroën,C4 LOUNGE Tendance 2.0 Flex 4p Mec.,2015.0,-0.37
Citroën,C4 LOUNGE Tendance 2.0 Flex 4p Mec.,2016.0,0.56
Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2015.0,-0.7
Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2016.0,-0.23
Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2019.0,-0.44
Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2020.0,-0.21
Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2015.0,-0.21
Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2016.0,0.39
Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2015.0,0.23
Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2016.0,0.56
Fiat,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p,2015.0,0.23
Fiat,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p,2016.0,0.56
Fiat,Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p,2015.0,0.15
Fiat,Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p,2016.0,0.47
Fiat,Idea ELX 1.4 mpi Fire Flex 8V 5p,2015.0,-0.78
Fiat,Grand Siena ESSEN. ITALIA Dual. 1.6 Flex,2015.0,-0.63
Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2015.0,-0.16
Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2016.0,0.04
Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2017.0,-0.38
Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2018.0,0.19
Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2019.0,-0.3
Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2020.0,0.41
Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2015.0,-0.63
Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2016.0,-0.07
Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2017.0,-0.51
Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2018.0,-0.52
Fiat,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,2015.0,-0.21
Fiat,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,2016.0,2.03
Fiat,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,2018.0,1.09
Fiat,LINEA ESSENCE 1.8 Flex 16V 4p,2015.0,-0.08
Fiat,LINEA ESSENCE 1.8 Flex 16V 4p,2016.0,0.97
Ford,EcoSport FREESTYLE 2.0 16V Flex 5p Aut.,2015.0,0.21
Ford,EcoSport SE 2.0 16V Flex 5p Aut.,2015.0,0.71
Ford,EcoSport SE 2.0 16V Flex 5p Aut.,2016.0,0.49
Ford,EcoSport SE 2.0 16V Flex 5p Aut.,2017.0,0.62
Ford,EcoSport SE 1.6 16V Flex 5p Mec.,2015.0,0.35
Ford,EcoSport SE 1.6 16V Flex 5p Mec.,2016.0,0.5
Ford,EcoSport SE 1.6 16V Flex 5p Mec.,2017.0,-0.5
Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2015.0,-0.78
Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2016.0,-0.02
Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2017.0,0.62
Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2018.0,-0.62
Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2019.0,0.11
Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2020.0,-0.61
Ford,Fiesta 1.6 16V Flex Aut. 5p,2015.0,-0.19
Ford,Fiesta 1.6 16V Flex Aut. 5p,2016.0,0.3
Ford,Fiesta Sedan 1.6 16V Flex Aut.,2015.0,-0.13
Ford,Fiesta Sedan 1.6 16V Flex Aut.,2016.0,-0.03
Ford,Fiesta 1.6 16V Flex Mec. 5p,2015.0,0.02
Ford,Fiesta 1.6 16V Flex Mec. 5p,2016.0,0.38
Ford,Fiesta 1.5 16V Flex Mec. 5p,2015.0,-0.12
Ford,Fiesta 1.5 16V Flex Mec. 5p,2016.0,-0.48
Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2015.0,0.23
Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2016.0,-0.66
Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2017.0,0.36
Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2018.0,-0.01
Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2019.0,0.19
Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2020.0,-1.33
Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2015.0,1.19
Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2016.0,0.52
Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2017.0,-0.13
Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2019.0,0.44
Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2020.0,0.57
Ford,Ranger XLS 3.2 20V 4x4 CD Diesel Mec.,2015.0,-0.76
Ford,Ranger XLS 3.2 20V 4x4 CD Diesel Mec.,2016.0,0.77
Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2015.0,-1.15
Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2016.0,1.08
Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2017.0,0.64
Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2018.0,-0.04
Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2019.0,-0.04
Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2020.0,-0.27
Honda,CITY Sedan DX 1.5 Flex 16V Aut.,2016.0,0.94
