Marca,Modelo,Ano-modelo,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12,Mes 13,Mes 14,Mes 15,Mes 16,Mes 17,Mes 18,Mes 19,Mes 20,Mes 21,Mes 22,Mes 23,Mes 24,Mes 25,Mes 26,Mes 27,Mes 28,Mes 29,Mes 30,Mes 31,Mes 32,Mes 33,Mes 34,Mes 35,Mes 36
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015,"247,150.00","247,365.00","247,737.00","250,636.00","253,743.00","254,051.00","257,703.00","255,805.00","254,599.00","256,606.00","252,009.00","246,273.00","240,776.00","234,998.00","229,703.00","224,621.00","219,284.00","214,449.00","206,085.00","205,017.00","205,945.00","203,825.00","203,212.00","205,752.00","205,340.00","205,875.00","202,488.00","198,641.00","199,090.00","197,273.00","193,115.00","190,657.00","188,094.00","188,094.00","184,572.00","187,829.00"
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016,"258,108.00","252,013.00","251,482.00","250,413.00","251,845.00","246,221.00","251,010.00","254,444.00","254,102.00","249,389.00","250,100.00","246,937.00","246,443.00","249,238.00","245,138.00","248,490.00","251,887.00","244,598.00","249,118.00","249,212.00","252,689.00","251,887.00","247,252.00","242,618.00","245,894.00","249,200.00","250,395.00","245,750.00","241,213.00","244,555.00","247,898.00","243,287.00","240,874.00","236,484.00","239,851.00","234,274.00"
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017,NaN,"277,895.00","273,323.00","272,361.00","271,402.00","274,958.00","274,099.00","277,832.00","281,675.00","282,746.00","286,573.00","290,309.00","294,097.00","294,005.00","293,044.00","297,039.00","298,510.00","298,400.00","302,473.00","293,800.00","291,230.00","287,000.00","285,000.00","284,608.00","278,694.00","271,707.00","268,950.00","271,707.00","271,707.00","268,242.00","266,879.00","262,075.00","259,956.00","254,239.00","252,245.00","248,299.00"
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018,NaN,"306,299.00","305,078.00","309,097.00","310,120.00","314,324.00","318,567.00","322,798.00","320,121.00","320,255.00","318,996.00","310,234.00","301,852.00","300,855.00","299,892.00","298,962.00","307,631.00","306,369.00","313,759.00","318,387.00","314,327.00","311,110.00","308,847.00","304,034.00","300,774.00","293,340.00","288,127.00","285,947.00","280,655.00","275,447.00","267,963.00","262,578.00","260,762.00","261,439.00","252,753.00","252,947.00"
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015,"131,650.00","131,610.00","131,178.00","132,877.00","134,420.00","136,132.00","131,447.00","131,425.00","131,366.00","131,305.00","131,210.00","130,220.00","131,572.00","128,612.00","128,380.00","127,355.00","126,636.00","123,831.00","125,992.00","124,359.00","124,123.00","123,752.00","123,033.00","123,869.00","120,907.00","118,963.00","117,588.00","118,382.00","116,137.00","114,386.00","111,686.00","110,188.00","109,584.00","109,679.00","107,697.00","107,241.00"
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016,"138,049.00","138,299.00","137,138.00","140,386.00","140,855.00","140,664.00","140,620.00","140,266.00","140,550.00","142,336.00","143,525.00","141,640.00","139,663.00","139,555.00","137,357.00","139,279.00","138,262.00","137,613.00","136,724.00","138,534.00","137,962.00","137,156.00","134,508.00","132,048.00","129,575.00","130,470.00","131,496.00","133,305.00","132,021.00","133,847.00","133,601.00","131,099.00","129,812.00","127,450.00","125,069.00","125,084.00"
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017,NaN,NaN,NaN,NaN,NaN,"157,401.00","153,143.00","152,683.00","152,669.00","282,746.00","286,573.00","290,309.00","294,097.00","294,005.00","293,044.00","297,039.00","298,510.00","298,400.00","302,473.00","293,800.00","291,230.00","287,000.00","285,000.00","284,608.00","278,694.00","271,707.00","268,950.00","271,707.00","271,707.00","268,242.00","266,879.00","262,075.00","259,956.00","254,239.00","252,245.00","248,299.00"
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015,"131,650.00","131,610.00","131,178.00","132,877.00","134,420.00","136,132.00","131,447.00","131,425.00","131,366.00","131,305.00","131,210.00","130,220.00","131,572.00","128,612.00","128,380.00","127,355.00","126,636.00","123,831.00","125,992.00","124,359.00","124,123.00","123,752.00","123,033.00","123,869.00","120,907.00","118,963.00","117,588.00","118,382.00","116,137.00","114,386.00","111,686.00","110,188.00","109,584.00","109,679.00","107,697.00","107,241.00"
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016,"138,049.00","138,299.00","137,138.00","140,386.00","140,855.00","140,664.00","140,620.00","140,266.00","140,550.00","142,336.00","143,525.00","141,640.00","139,663.00","139,555.00","137,357.00","139,279.00","138,262.00","137,613.00","136,724.00","138,534.00","137,962.00","137,156.00","134,508.00","132,048.00","129,575.00","130,470.00","131,496.00","133,305.00","132,021.00","133,847.00","133,601.00","131,099.00","129,812.00","127,450.00","125,069.00","125,084.00"
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017,NaN,NaN,NaN,NaN,NaN,"157,401.00","153,143.00","152,683.00","152,669.00","152,057.00","154,045.00","156,106.00","158,204.00","158,100.00","157,428.00","157,425.00","159,529.00","160,025.00","160,020.00","160,590.00","160,885.00","159,979.00","159,600.00","159,784.00","157,522.00","155,452.00","153,969.00","152,769.00","151,261.00","149,983.00","149,308.00","148,651.00","148,011.00","147,374.00","143,837.00","143,304.00"
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018,"165,934.00","165,105.00","164,432.00","164,428.00","165,784.00","166,025.00","166,100.00","168,385.00","167,910.00","170,178.00","168,623.00","165,325.00","163,697.00","163,867.00","164,015.00","164,126.00","166,998.00","163,577.00","162,500.00","161,508.00","160,538.00","159,590.00","160,325.00","159,395.00","158,486.00","153,227.00","150,928.00","150,097.00","147,978.00","144,428.00","141,827.00","140,225.00","136,999.00","138,800.00","135,746.00","135,827.00"
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015,"157,914.00","158,124.00","158,398.00","156,407.00","155,215.00","154,063.00","154,060.00","154,650.00","151,846.00","151,211.00","148,572.00","145,048.00","141,697.00","138,508.00","135,369.00","132,320.00","129,185.00","129,733.00","124,673.00","124,558.00","122,922.00","121,423.00","120,032.00","118,535.00","115,764.00","119,200.00","117,485.00","114,696.00","114,206.00","116,528.00","116,190.00","112,919.00","113,579.00","114,305.00","112,178.00","110,108.00"
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016,"152,228.00","148,711.00","148,367.00","147,810.00","146,200.00","149,572.00","143,738.00","144,710.00","146,496.00","148,641.00","146,603.00","144,695.00","141,331.00","143,985.00","141,913.00","139,990.00","138,093.00","141,086.00","140,092.00","138,727.00","139,562.00","137,286.00","137,753.00","135,139.00","132,645.00","134,485.00","135,461.00","133,524.00","135,212.00","134,120.00","134,524.00","132,091.00","131,085.00","128,655.00","126,213.00","126,252.00"
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"188,945.00","188,302.00","187,861.00","187,302.00","183,900.00","183,427.00","182,705.00","182,207.00","181,815.00","181,778.00","181,375.00","180,865.00","180,460.00","180,596.00","177,296.00","176,767.00","173,380.00","170,021.00","165,090.00","160,302.00","155,653.00","154,843.00","154,053.00","150,201.00","149,539.00","148,379.00","147,740.00","147,119.00","143,588.00"
